uniprot,cluster,nseq,w_n,w_nh,w_perc_h,w_mean,reg1_n,reg1_nh,reg1_perc_h,reg1_mean,reg2_n,reg2_nh,reg2_perc_h,reg2_mean,both_reg_n,both_reg_nh,both_reg_perc_h,both_reg_mean,o_reg_n,o_reg_nh,o_reg_perc_h,o_reg_mean
D9N168,U10-007,11,579,238,0.4110535405872193,1.615097784884952,167,95,0.5688622754491018,2.0407195197313643,208,69,0.3317307692307692,1.401644531809024,375,164,0.43733333333333335,1.6862459264304395,204,74,0.3627450980392157,1.4843107599851582
D9N168,U100-004,101,579,342,0.5906735751295337,2.1325640544909628,167,130,0.7784431137724551,2.607707227249873,208,100,0.4807692307692308,1.8566407921525607,375,230,0.6133333333333333,2.1911157112492305,204,112,0.5490196078431373,2.024932332508852
D9N168,U10-005,11,579,263,0.4542314335060449,1.648029003906197,167,106,0.6347305389221557,2.030913389006403,208,73,0.35096153846153844,1.4472401510801087,375,179,0.47733333333333333,1.707169299703285,204,84,0.4117647058823529,1.5393152248674324
D9N168,U100-002,101,579,364,0.6286701208981001,2.24307747465253,167,139,0.8323353293413174,2.7831605737887424,208,105,0.5048076923076923,1.9391288482925129,375,244,0.6506666666666666,2.3150043100468336,204,120,0.5882352941176471,2.1108590272365313
D9N168,U10-009,11,579,264,0.45595854922279794,1.6843028550896058,167,112,0.6706586826347305,2.1467242622822895,208,75,0.3605769230769231,1.4341278839620142,375,187,0.49866666666666665,1.7514708044406435,204,77,0.37745098039215685,1.5608323599590215
D9N168,U100-006,101,579,348,0.6010362694300518,2.183867802029839,167,134,0.8023952095808383,2.7399858965274095,208,102,0.49038461538461536,1.8791825556198665,375,236,0.6293333333333333,2.262526976770692,204,112,0.5490196078431373,2.0392737308150357
D9N168,U10-001,11,579,280,0.4835924006908463,1.7828855095723626,167,105,0.6287425149700598,2.1347795900585487,208,81,0.3894230769230769,1.5631110794152743,375,186,0.496,1.8176941228217456,204,94,0.46078431372549017,1.718899088158055
D9N168,U10-006,11,579,252,0.43523316062176165,1.690620906407132,167,106,0.6347305389221557,2.1120217528835163,208,75,0.3605769230769231,1.4995213814842556,375,181,0.4826666666666667,1.7722882135473927,204,71,0.3480392156862745,1.5404971800463578
D9N168,U100-000,101,579,350,0.6044905008635578,2.187185542783547,167,137,0.8203592814371258,2.7391462021296693,208,97,0.46634615384615385,1.8718265905620295,375,234,0.624,2.258072924246818,204,116,0.5686274509803921,2.05687785627018
D9N168,U100-008,101,579,338,0.5837651122625216,2.1529822016789284,167,134,0.8023952095808383,2.6664545935786585,208,97,0.46634615384615385,1.858953968136961,375,231,0.616,2.2185609133336635,204,107,0.5245098039215687,2.0324330993724296
D9N168,U10-003,11,579,235,0.4058721934369603,1.6116843220403352,167,92,0.5508982035928144,2.014548524866306,208,73,0.35096153846153844,1.4468276524232604,375,165,0.44,1.69965268095123,204,70,0.3431372549019608,1.4499777799247193
D9N168,U10-002,11,579,246,0.42487046632124353,1.610108157535662,167,106,0.6347305389221557,2.065995774657342,208,62,0.2980769230769231,1.3584100562467016,375,168,0.448,1.6735215628455733,204,78,0.38235294117647056,1.493539397774795
D9N168,U100-001,101,579,351,0.6062176165803109,2.164909767374951,167,135,0.8083832335329342,2.714461146925527,208,104,0.5,1.862012675318489,375,239,0.6373333333333333,2.241636394674156,204,112,0.5490196078431373,2.023868173074941
D9N168,U100-005,101,579,353,0.6096718480138169,2.1806183917107163,167,135,0.8083832335329342,2.722335852536435,208,105,0.5048076923076923,1.899872191605906,375,240,0.64,2.2661426752736347,204,113,0.553921568627451,2.023404635161234
D9N168,U100-007,101,579,354,0.6113989637305699,2.2033149140916453,167,136,0.8143712574850299,2.7229553326151166,208,103,0.4951923076923077,1.918359650024653,375,239,0.6373333333333333,2.276672927338273,204,115,0.5637254901960784,2.068465625035343
D9N168,U100-009,101,579,352,0.6079447322970639,2.2231529048314034,167,129,0.7724550898203593,2.7445030320627337,208,107,0.5144230769230769,1.9241072518578002,375,236,0.6293333333333333,2.2894568393090635,204,116,0.5686274509803921,2.101270672335704
D9N168,U10-008,11,579,265,0.45768566493955093,1.7228919345482683,167,106,0.6347305389221557,2.107985906983489,208,75,0.3605769230769231,1.5047037170967574,375,181,0.4826666666666667,1.7733653856596483,204,84,0.4117647058823529,1.630109855299407
D9N168,U10-000,11,579,280,0.4835924006908463,1.7562579701081313,167,112,0.6706586826347305,2.0881441795008104,208,77,0.3701923076923077,1.5549462170827475,375,189,0.504,1.792397043012925,204,91,0.44607843137254904,1.6898258507978487
D9N168,U100-003,101,579,354,0.6113989637305699,2.18746350928038,167,136,0.8143712574850299,2.730439365878616,208,98,0.47115384615384615,1.879223761141148,375,234,0.624,2.2582984437842337,204,120,0.5882352941176471,2.0572522326188833
D9N168,U10-004,11,579,249,0.43005181347150256,1.6871635769784106,167,104,0.6227544910179641,2.1187899610815193,208,69,0.3317307692307692,1.4501437527570964,375,173,0.4613333333333333,1.747914197530906,204,76,0.37254901960784315,1.5754896421392637
Q72AS4,065,6,317,0,0.0,0.6101640750005395,154,0,0.0,0.6120096176947694,79,0,0.0,0.469236522245547,233,0,0.0,0.563601572456621,84,0,0.0,0.7393195880092656
Q72AS4,047,15,317,30,0.0946372239747634,0.8497570951100897,154,10,0.06493506493506493,0.8848133007049795,79,6,0.0759493670886076,0.6761806935899224,233,16,0.06866952789699571,0.8140752064470846,84,14,0.16666666666666666,0.9487318577110437
Q72AS4,172,49,317,59,0.1861198738170347,0.959134005327028,154,45,0.2922077922077922,1.270478150616234,79,8,0.10126582278481013,0.7172958879851787,233,53,0.22746781115879827,1.0829184993378933,84,6,0.07142857142857142,0.6157793969397465
Q72AS4,034,7,317,8,0.025236593059936908,0.7108247045632677,154,3,0.01948051948051948,0.7119874194370532,79,0,0.0,0.6185545318180939,233,3,0.012875536480686695,0.6803084575404961,84,5,0.05952380952380952,0.7954709611859553
Q72AS4,081,9,317,7,0.022082018927444796,0.6144172619326945,154,2,0.012987012987012988,0.5887244815406337,79,2,0.02531645569620253,0.5682258187457826,233,4,0.017167381974248927,0.5817742911509631,84,3,0.03571428571428571,0.7049626451724971
Q72AS4,110,217,317,54,0.17034700315457413,1.012286632238125,154,38,0.24675324675324675,1.228018672338728,79,11,0.13924050632911392,0.7981202728664234,233,49,0.21030042918454936,1.0822591291700066,84,5,0.05952380952380952,0.8181962538437382
