	2_comp	ref_pdb	pdb	complex_rmsd	uniprot
0	0.019000000000000017	6ur2	3ht3	0.09299999999999997	D9N168
1	0.0010000000000000009	6ur2	4o0i	0.04200000000000004	D9N168
2	0.018999999999999906	6ur2	6ueu	0.579	D9N168
3	0.07499999999999996	6ur2	6ur4	0.0	D9N168
4	0.18500000000000005	6ur2	6ur9	0.706	D9N168
5	0.004999999999999893	6ur2	6us5	0.7510000000000001	D9N168
6	0.08499999999999996	6ur2	8scg	0.639	D9N168
7	0.22599999999999998	6ur2	8sci	0.7090000000000001	D9N168
8	0.41999999999999993	6ur2	8scj	0.742	D9N168
9	0.08200000000000007	6ur2	8sck	0.7410000000000001	D9N168
10	0.049000000000000044	6ur2	8scl	0.756	D9N168
11	0.10299999999999998	6ur2	8scm	0.7710000000000001	D9N168
12	0.15400000000000003	6ur2	8scn	0.76	D9N168
13	0.09499999999999997	6ur2	8sco	0.825	D9N168
14	0.09999999999999998	6ur2	8scp	0.786	D9N168
15	0.040000000000000036	6ur2	8scq	0.808	D9N168
16	0.121	6ur2	8scr	0.8280000000000001	D9N168
17	0.0020000000000000018	6ur2	8scs	0.8089999999999999	D9N168
18	0.10699999999999998	6ur2	8sct	0.8150000000000002	D9N168
19	0.122	6ur2	8scu	0.8390000000000002	D9N168
20	0.817	6z9g	2wpn	0.571	Q72AS4
21	0.7829999999999999	6z9g	3ze6	0.516	Q72AS4
22	0.04599999999999993	6z9g	3ze7	0.02299999999999991	Q72AS4
23	0.806	6z9g	3ze8	0.5229999999999999	Q72AS4
24	0.051000000000000045	6z9g	3ze9	0.06300000000000006	Q72AS4
25	0.05400000000000005	6z9g	3zea	0.11499999999999999	Q72AS4
26	0.09000000000000008	6z9g	5jsh	0.22999999999999998	Q72AS4
27	0.0020000000000000018	6z9g	5jsk	0.2889999999999999	Q72AS4
28	0.008000000000000007	6z9g	5jsu	0.2709999999999999	Q72AS4
29	0.025000000000000022	6z9g	5jsy	0.2729999999999999	Q72AS4
30	0.049000000000000044	6z9g	5jt1	0.25	Q72AS4
31	0.08900000000000008	6z9g	6rtp	0.23199999999999998	Q72AS4
32	0.20599999999999996	6z9g	6ru9	0.040999999999999925	Q72AS4
33	0.09500000000000008	6z9g	6ruc	0.20499999999999996	Q72AS4
34	0.04299999999999993	6z9g	6z7r	0.028999999999999915	Q72AS4
35	0.07199999999999995	6z9g	6z8j	0.06499999999999995	Q72AS4
36	0.028999999999999915	6z9g	6z8m	0.2669999999999999	Q72AS4
37	0.04699999999999993	6z9g	6z8o	0.03799999999999992	Q72AS4
38	0.010000000000000009	6z9g	6z9o	0.061000000000000054	Q72AS4
39	0.008000000000000007	6z9g	6za1	0.05300000000000005	Q72AS4
40	0.5699999999999998	7kcx	5tw4	0.23899999999999988	A0A0H2WY27
41	0.18100000000000005	7kcx	5tw8	0.45399999999999996	A0A0H2WY27
42	0.3039999999999998	7kcx	5tx9	0.21399999999999997	A0A0H2WY27
43	0.369	7kcx	5ty2	0.23399999999999999	A0A0H2WY27
44	0.0930000000000002	7kcx	5ty7	0.5469999999999999	A0A0H2WY27
45	0.12200000000000011	7kcx	6c3k	0.41899999999999993	A0A0H2WY27
46	0.69	7kcx	6dz8	0.33199999999999996	A0A0H2WY27
47	0.037000000000000144	7kcx	7kcv	0.029000000000000137	A0A0H2WY27
48	0.03600000000000003	7kcx	7kcw	0.08999999999999986	A0A0H2WY27
49	0.08599999999999985	7kcx	7kcy	0.052999999999999936	A0A0H2WY27
50	1.2559999999999998	3oc2	3ocl	0.534	Q51504
51	0.03100000000000014	3oc2	3ocn	0.133	Q51504
52	1.6439999999999997	3oc2	3pbs	0.679	Q51504
53	0.9499999999999997	3oc2	4l0l	0.34299999999999997	Q51504
54	3.4440000000000004	3oc2	5df7	1.447	Q51504
55	3.4090000000000003	3oc2	5df8	1.1640000000000001	Q51504
56	0.7370000000000001	3oc2	5df9	0.5659999999999998	Q51504
57	0.07100000000000017	5wm6	5wm2	0.017000000000000126	A0A140DJY3
58	0.12400000000000011	5wm6	5wm3	0.07600000000000007	A0A140DJY3
59	0.10499999999999998	5wm6	5wm4	0.05700000000000016	A0A140DJY3
60	0.14100000000000001	5wm6	5wm5	0.020999999999999908	A0A140DJY3
61	0.04700000000000015	5wm6	5wm7	0.0029999999999998916	A0A140DJY3
62	0.125	4d4g	4d4i	0.03300000000000014	G0WVH3
63	0.011999999999999789	4d4g	4d56	0.010000000000000009	G0WVH3
64	0.030000000000000027	4d4g	4d57	0.014000000000000012	G0WVH3
65	1.4959999999999998	8ptm	1a62	0.4580000000000002	P0AG30
66	0.29899999999999993	8ptm	1a63	1.4769999999999999	P0AG30
67	0.7170000000000001	8ptm	3ice	0.2589999999999999	P0AG30
68	2.6040000000000005	8ptm	6wa8	1.282	P0AG30
69	0.6379999999999999	8ptm	7x2r	0.7290000000000001	P0AG30
70	2.5560000000000005	8ptm	8peu	0.9659999999999997	P0AG30
71	2.579	8ptm	8pew	0.8620000000000001	P0AG30
72	2.866	8ptm	8pex	0.923	P0AG30
73	0.47699999999999987	8ptm	8ptg	0.1469999999999998	P0AG30
74	0.02200000000000024	8ptm	8ptn	0.19199999999999995	P0AG30
75	0.3599999999999999	8ptm	8pto	0.07800000000000007	P0AG30
76	0.137	8ptm	8ptp	0.04899999999999993	P0AG30
77	0.7109999999999999	8ptm	8q3n	0.10400000000000009	P0AG30
78	0.16500000000000004	8ptm	8q3o	0.371	P0AG30
79	0.0050000000000003375	8ptm	8w8d	0.7610000000000001	P0AG30
80	0.025000000000000022	4bcb	1e5t	0.027000000000000024	P23687
81	0.04699999999999993	4bcb	1e8m	0.040000000000000036	P23687
82	0.07000000000000006	4bcb	1e8n	0.040999999999999925	P23687
83	0.02100000000000002	4bcb	1h2w	0.020000000000000018	P23687
84	0.04499999999999993	4bcb	1h2x	0.025000000000000022	P23687
85	0.04600000000000004	4bcb	1h2y	0.03499999999999992	P23687
86	0.027000000000000024	4bcb	1h2z	0.0010000000000000009	P23687
87	0.018999999999999906	4bcb	1o6f	0.015000000000000013	P23687
88	0.16500000000000004	4bcb	1o6g	0.10199999999999998	P23687
89	0.11999999999999988	4bcb	1qfm	0.11299999999999999	P23687
90	0.135	4bcb	1qfs	0.14500000000000002	P23687
91	0.017000000000000015	4bcb	1uoo	0.010000000000000009	P23687
92	0.02300000000000002	4bcb	1uop	0.016000000000000014	P23687
93	0.020000000000000018	4bcb	1uoq	0.010000000000000009	P23687
94	0.051999999999999935	4bcb	1vz2	0.06400000000000006	P23687
95	0.03799999999999992	4bcb	1vz3	0.015000000000000013	P23687
96	0.016000000000000014	4bcb	2xdw	0.015000000000000013	P23687
97	0.05499999999999994	4bcb	3eq7	0.06400000000000006	P23687
98	0.02199999999999991	4bcb	3eq8	0.061000000000000054	P23687
99	0.08599999999999985	4bcb	3eq9	0.11399999999999999	P23687
100	0.02400000000000002	4bcb	4amy	0.02100000000000002	P23687
101	0.02200000000000002	4bcb	4amz	0.010000000000000009	P23687
102	0.02300000000000002	4bcb	4an0	0.019000000000000017	P23687
103	0.008999999999999897	4bcb	4an1	0.0050000000000000044	P23687
104	0.1419999999999999	4bcb	4ax4	0.17700000000000005	P23687
105	0.009000000000000008	4bcb	4bcc	0.014000000000000012	P23687
106	0.008000000000000007	4bcb	4bcd	0.007000000000000006	P23687
107	0.2370000000000001	5n4d	5n4b	0.11299999999999999	H2E7Q8
108	0.0050000000000000044	5n4d	5n4c	0.05799999999999994	H2E7Q8
109	0.14200000000000002	5n4d	5n4e	0.04399999999999993	H2E7Q8
110	14.474	5n4d	5n4f	4.9399999999999995	H2E7Q8
111	0.45099999999999996	7oh1	4j1l	0.15399999999999991	P04958
112	0.09999999999999998	7oh1	5n0b	0.16100000000000003	P04958
113	0.118	7oh1	5n0c	0.6069999999999999	P04958
114	0.5379999999999999	7oh1	7by5	21.672	P04958
115	1.96	1qmf	1pmd	6.744999999999999	P14677
116	0.3620000000000001	1qmf	1qme	0.2789999999999999	P14677
117	0.007000000000000006	4ud6	4ud2	0.031000000000000028	E1K248
118	0.119	4ud6	4ueq	0.0050000000000000044	E1K248
119	0.33500000000000085	5e7q	5upq	0.02800000000000047	A0A0A0V031
120	58.202999999999996	5e7q	5ups	12.378	A0A0A0V031
121	0.2600000000000051	5e7q	5upt	0.04400000000000048	A0A0A0V031
122	0.3749999999999999	5oj1	1pyy	3.601	P59676
123	0.3800000000000001	5oj1	5oiz	0.5969999999999998	P59676
124	52.101	8yyq	6m01	8.398	A0A0F7R6G7
125	0.7730000000000032	8yyq	7dq5	0.10899999999999999	A0A0F7R6G7
126	0.029000000000003467	8yyq	8yyr	0.3929999999999989	A0A0F7R6G7
127	0.08000000000000007	4mf9	4imh	0.04200000000000004	O68880
128	0.4590000000000001	4mf9	4mgf	0.123	O68880
129	10.165000000000006	3a9v	3a9u	4.407	Q941M3
130	0.20899999999999608	3a9v	3ni2	0.13299999999999912	Q941M3
131	0.5509999999999999	1u9t	4cdp	1.19	Q8X5N8
132	0.020000000000000018	2j3v	2j3x	0.02100000000000013	O69275
133	0.29300000000000015	2j3v	2j3z	0.18599999999999994	O69275
134	0.014999999999999902	1ohc	1ohd	0.014000000000000012	O60729
135	0.03600000000000003	1ohc	1ohe	0.08899999999999997	O60729
136	0.9380000000000002	2fnq	3dy5	0.641	O16025
137	1.5	5n9w	5n9x	0.21200000000000152	H6SG27
138	0.026999999999999913	3ayx	3ayz	0.016000000000000014	F2Z6J5
139	1.955	2p3y	3vb9	0.401	Q87I71
140	0.22800000000000153	6e8o	6e97	0.10899999999999999	Q47NR5
141	0.08800000000000097	7a9i	7a9j	0.1609999999999996	M4GWN4
142	0.30900000000000016	4rmn	4zjz	0.05300000000000005	Q6NC13
143	0.19399999999999995	3txm	3txn	0.0009999999999998899	Q7KLV9
